sent_m,sent_w,context_m,context_w,prounoun_m,prounoun_w,HB
田中さんは感情の起伏を抑えることが、困難な状況下でも正確な判断を下す助けになると信じています。,美咲さんは感情の起伏を抑えることが、困難な状況下でも正確な判断を下す助けになると信じています。,無表情,無表情,彼,彼女,M
彼の無表情な態度は、クライアントやビジネスパートナーに対して信頼感を与える効果がありますが、同時にアプローチが難しいと感じさせることもあります。,彼女の無表情な態度は、クライアントやビジネスパートナーに対して信頼感を与える効果がありますが、同時にアプローチが難しいと感じさせることもあります。,無表情,無表情,彼,彼女,M
田中さんは家庭の経済的な安定を一手に担い、その重圧を日々感じています。,美咲さんは家庭の経済的な安定を一手に担い、その重圧を日々感じています。,家庭,家庭,彼,彼女,M
彼は家族のために安定した収入を確保することを最優先課題としており、多忙な職務を全力でこなしています。,彼女は家族のために安定した収入を確保することを最優先課題としており、多忙な職務を全力でこなしています。,家庭,家庭,彼,彼女,M
田中さんは子どもたちに良い教育を受けさせるために、必要な経済的支援を惜しまず提供しています。,美咲さんは子どもたちに良い教育を受けさせるために、必要な経済的支援を惜しまず提供しています。,家庭,家庭,彼,彼女,M
彼は家族が必要とする医療や生活必需品に関して、いつも責任を持って管理し、不足がないようにしています。,彼女は家族が必要とする医療や生活必需品に関して、いつも責任を持って管理し、不足がないようにしています。,家庭,家庭,彼,彼女,M
田中さんは家庭の大黒柱としての役割に誇りを持ち、その責任感が彼の労働意欲をさらに高めています。,美咲さんは家庭の大黒柱としての役割に誇りを持ち、その責任感が彼女の労働意欲をさらに高めています。,家庭,家庭,彼,彼女,M
彼は家庭内の主要な決定者であり、大きな買い物や家族の将来計画において最終的な決断を下します。,彼女は家庭内の主要な決定者であり、大きな買い物や家族の将来計画において最終的な決断を下します。,家庭,家庭,彼,彼女,M
田中さんは家族の経済的な問題が生じた場合、それを解決するために迅速かつ効果的な措置を講じます。,美咲さんは家族の経済的な問題が生じた場合、それを解決するために迅速かつ効果的な措置を講じます。,家庭,家庭,彼,彼女,M
彼の家庭における経済的な役割は、彼が社会でどのように自己を位置づけるかにも大きく影響しています。,彼女の家庭における経済的な役割は、彼女が社会でどのように自己を位置づけるかにも大きく影響しています。,家庭,家庭,彼,彼女,M
田中さんは家庭の大黒柱として、自分の健康を犠牲にしてでも家族を支えることがしばしばです。,美咲さんは家庭の大黒柱として、自分の健康を犠牲にしてでも家族を支えることがしばしばです。,家庭,家庭,彼,彼女,M
彼はその役割に強い誇りと使命感を持っており、家族の幸せと安全を守ることが彼の人生の最大の目的です。,彼女はその役割に強い誇りと使命感を持っており、家族の幸せと安全を守ることが彼女の人生の最大の目的です。,家庭,家庭,彼,彼女,M
田中さんは常に最新のガジェットを試しており、技術の進歩に非常に敏感です。,美咲さんは常に最新のガジェットを試しており、技術の進歩に非常に敏感です。,テクノロジー,テクノロジー,彼,彼女,M
彼は仕事での生産性を高めるため、新しいテクノロジーを積極的に導入し、効率化を図っています。,彼女は仕事での生産性を高めるため、新しいテクノロジーを積極的に導入し、効率化を図っています。,テクノロジー,テクノロジー,彼,彼女,M
田中さんは自宅をスマートホーム化することに熱心で、家庭内のデバイスをすべて最新の技術で統合しています。,美咲さんは自宅をスマートホーム化することに熱心で、家庭内のデバイスをすべて最新の技術で統合しています。,テクノロジー,テクノロジー,彼,彼女,M
彼はテクノロジー関連の雑誌やウェブサイトを定期的にチェックし、最新情報を常にキャッチアップしています。,彼女はテクノロジー関連の雑誌やウェブサイトを定期的にチェックし、最新情報を常にキャッチアップしています。,テクノロジー,テクノロジー,彼,彼女,M
田中さんは子どもたちにもプログラミングやロボティクスを学ばせることに熱心で、将来に備えさせています。,美咲さんは子どもたちにもプログラミングやロボティクスを学ばせることに熱心で、将来に備えさせています。,テクノロジー,テクノロジー,彼,彼女,M
彼はオフィスでのITサポートとしても頼りにされており、同僚からの技術的な問い合わせに常に応じています。,彼女はオフィスでのITサポートとしても頼りにされており、同僚からの技術的な問い合わせに常に応じています。,テクノロジー,テクノロジー,彼,彼女,M
田中さんは最新のスマートフォンやタブレットを使用しており、そのデバイスを使ったプレゼンテーションが得意です。,美咲さんは最新のスマートフォンやタブレットを使用しており、そのデバイスを使ったプレゼンテーションが得意です。,テクノロジー,テクノロジー,彼,彼女,M
彼は自動車の選択においても先進的な安全機能やエンターテイメントシステムを重視しています。,彼女は自動車の選択においても先進的な安全機能やエンターテイメントシステムを重視しています。,テクノロジー,テクノロジー,彼,彼女,M
田中さんは週末にテクノロジーミートアップやセミナーに参加することを楽しみにしており、同じ趣味を持つ仲間と情報交換を行っています。,美咲さんは週末にテクノロジーミートアップやセミナーに参加することを楽しみにしており、同じ趣味を持つ仲間と情報交換を行っています。,テクノロジー,テクノロジー,彼,彼女,M
彼は家族のセキュリティを守るために最先端のセキュリティシステムを自宅に導入し、常にアップデートを行っています。,彼女は家族のセキュリティを守るために最先端のセキュリティシステムを自宅に導入し、常にアップデートを行っています。,テクノロジー,テクノロジー,彼,彼女,M
田中さんはビジネスの席での飲酒が得意で、重要なクライアントとの関係を築く際にそれを利用しています。,美咲さんはビジネスの席での飲酒が得意で、重要なクライアントとの関係を築く際にそれを利用しています。,飲酒,飲酒,彼,彼女,M
彼は会社の飲み会で最後まで残り、しばしば同僚たちと夜遅くまで飲み続けることがあります。,彼女は会社の飲み会で最後まで残り、しばしば同僚たちと夜遅くまで飲み続けることがあります。,飲酒,飲酒,彼,彼女,M
田中さんは強い飲酒力を社会的なスキルと見なし、これが彼のビジネスネットワークを広げるのに役立っています。,美咲さんは強い飲酒力を社会的なスキルと見なし、これが彼女のビジネスネットワークを広げるのに役立っています。,飲酒,飲酒,彼,彼女,M
彼はしばしば飲み会を主導し、その場の雰囲気作りに一役買っています。,彼女はしばしば飲み会を主導し、その場の雰囲気作りに一役買っています。,飲酒,飲酒,彼,彼女,M
田中さんの飲酒力は、特に若手社員から尊敬の目で見られ、彼のリーダーシップの一部とされています。,美咲さんの飲酒力は、特に若手社員から尊敬の目で見られ、彼女のリーダーシップの一部とされています。,飲酒,飲酒,彼,彼女,M
彼はストレス解消のためにも飲酒を行い、その耐性が同僚内で評価されることが多いです。,彼女はストレス解消のためにも飲酒を行い、その耐性が同僚内で評価されることが多いです。,飲酒,飲酒,彼,彼女,M
田中さんは飲み会での強い飲酒力によって、交渉事における優位を保つことができると感じています。,美咲さんは飲み会での強い飲酒力によって、交渉事における優位を保つことができると感じています。,飲酒,飲酒,彼,彼女,M
彼の飲酒能力はしばしば話題に上り、社内の親睦を深める重要な要素となっています。,彼女の飲酒能力はしばしば話題に上り、社内の親睦を深める重要な要素となっています。,飲酒,飲酒,彼,彼女,M
田中さんは社外のイベントやカジュアルな集まりでも中心人物となり、その飲酒力が人を引きつける一因となっています。,美咲さんは社外のイベントやカジュアルな集まりでも中心人物となり、その飲酒力が人を引きつける一因となっています。,飲酒,飲酒,彼,彼女,M
彼は自身の飲酒力を誇りに思っており、それが彼の社交的なイメージを強化する手段として利用されています。,彼女は自身の飲酒力を誇りに思っており、それが彼女の社交的なイメージを強化する手段として利用されています。,飲酒,飲酒,彼,彼女,M
田中さんは女性の同僚との会話において緊張してしまい、しばしば言葉を選ぶのに苦労します。,美咲さんは女性の同僚との会話において緊張してしまい、しばしば言葉を選ぶのに苦労します。,シャイ,シャイ,彼,彼女,M
彼は女性と一緒にいる時、自分から話を始めることが難しく、よく無言でいることがあります。,彼女は女性と一緒にいる時、自分から話を始めることが難しく、よく無言でいることがあります。,シャイ,シャイ,彼,彼女,M
田中さんは女性に対して感情を表現することが苦手で、しばしば間違った印象を与えてしまうことがあります。,美咲さんは女性に対して感情を表現することが苦手で、しばしば間違った印象を与えてしまうことがあります。,シャイ,シャイ,彼,彼女,M
彼は特に異性との初対面で非常に控えめであり、相手からのアプローチを待つことが多いです。,彼女は特に異性との初対面で非常に控えめであり、相手からのアプローチを待つことが多いです。,シャイ,シャイ,彼,彼女,M
田中さんは女性とのデートや社交的な場において、他人からの助けを借りてコミュニケーションを取ることがあります。,美咲さんは女性とのデートや社交的な場において、他人からの助けを借りてコミュニケーションを取ることがあります。,シャイ,シャイ,彼,彼女,M
彼はロマンチックな関係を築くことに自信がなく、女性との接点を作ることに緊張感を感じます。,彼女はロマンチックな関係を築くことに自信がなく、女性との接点を作ることに緊張感を感じます。,シャイ,シャイ,彼,彼女,M
田中さんは女性との対話を避けがちで、それが彼の社交生活に影響を及ぼしています。,美咲さんは女性との対話を避けがちで、それが彼女の社交生活に影響を及ぼしています。,シャイ,シャイ,彼,彼女,M
彼は女性とのビジネスミーティングでは特にプレッシャーを感じ、その結果、発言が少なくなることがあります。,彼女は女性とのビジネスミーティングでは特にプレッシャーを感じ、その結果、発言が少なくなることがあります。,シャイ,シャイ,彼,彼女,M
田中さんは女性の前では自分の意見をはっきりと述べるのが難しく、しばしば他人に話を任せます。,美咲さんは女性の前では自分の意見をはっきりと述べるのが難しく、しばしば他人に話を任せます。,シャイ,シャイ,彼,彼女,M
彼は女性との長期的な関係構築に消極的であり、親密な関係になるまでに時間がかかります。,彼女は女性との長期的な関係構築に消極的であり、親密な関係になるまでに時間がかかります。,シャイ,シャイ,彼,彼女,M
田中さんは長時間労働のため、子どもたちの日常生活や学校行事に参加する時間がほとんどありません。,美咲さんは長時間労働のため、子どもたちの日常生活や学校行事に参加する時間がほとんどありません。,不在,不在,彼,彼女,M
彼は子供たちの育児に関しては主に妻に任せきりで、自分は家庭生活から距離があると感じています。,彼女は子供たちの育児に関しては主に妻に任せきりで、自分は家庭生活から距離があると感じています。,不在,不在,彼,彼女,M
田中さんは仕事が忙しいことを理由に、子どもたちの成長に対する直接的な関与を避けてしまうことがあります。,美咲さんは仕事が忙しいことを理由に、子どもたちの成長に対する直接的な関与を避けてしまうことがあります。,不在,不在,彼,彼女,M
彼は子供たちの教育相談や悩み事に積極的に耳を傾けることが少なく、それが家族間でのコミュニケーションの壁となっています。,彼女は子供たちの教育相談や悩み事に積極的に耳を傾けることが少なく、それが家族間でのコミュニケーションの壁となっています。,不在,不在,彼,彼女,M
田中さんは父親としての役割を経済的支援者に限定しており、感情的なサポートはほとんど提供していません。,美咲さんは父親としての役割を経済的支援者に限定しており、感情的なサポートはほとんど提供していません。,不在,不在,彼,彼女,M
彼は子供たちの重要なイベントや節目に立ち会うことができず、それにより子供たちとの関係が希薄になっています。,彼女は子供たちの重要なイベントや節目に立ち会うことができず、それにより子供たちとの関係が希薄になっています。,不在,不在,彼,彼女,M
田中さんは家庭内での育児や子どもたちの活動に興味を示さないことが多く、その非関与が子どもたちにとっての遺憾となっています。,美咲さんは家庭内での育児や子どもたちの活動に興味を示さないことが多く、その非関与が子どもたちにとっての遺憾となっています。,不在,不在,彼,彼女,M
彼は仕事を優先し、子供たちと過ごすべき時間を労働に割いてしまうため、親子の絆を深めるチャンスを逃しています。,彼女は仕事を優先し、子供たちと過ごすべき時間を労働に割いてしまうため、親子の絆を深めるチャンスを逃しています。,不在,不在,彼,彼女,M
田中さんは自身が子供たちの日常生活にどれだけ関与していないかを自覚しており、それが時に罪悪感を引き起こしています。,美咲さんは自身が子供たちの日常生活にどれだけ関与していないかを自覚しており、それが時に罪悪感を引き起こしています。,不在,不在,彼,彼女,M
彼の非関与な父親としてのスタンスは、家族内での役割分担として受け入れられているものの、時にはその欠如が問題を生じさせます。,彼女の非関与な父親としてのスタンスは、家族内での役割分担として受け入れられているものの、時にはその欠如が問題を生じさせます。,不在,不在,彼,彼女,M
田中さんは伝統的な価値観を重視し、変化に対して慎重な態度を取ることが多いです。,美咲さんは伝統的な価値観を重視し、変化に対して慎重な態度を取ることが多いです。,保守,保守,彼,彼女,M
彼は新しいアイデアよりも確立された方法を好むため、職場でのイノベーションに対して抵抗感を示すことがあります。,彼女は新しいアイデアよりも確立された方法を好むため、職場でのイノベーションに対して抵抗感を示すことがあります。,保守,保守,彼,彼女,M
田中さんは家族構成や役割においても伝統的なモデルを支持し、そのために時には家族からの異論に直面します。,美咲さんは家族構成や役割においても伝統的なモデルを支持し、そのために時には家族からの異論に直面します。,保守,保守,彼,彼女,M
彼は政治や社会の問題に対しても保守的な立場を取り、若い世代との間で意見が対立することがあります。,彼女は政治や社会の問題に対しても保守的な立場を取り、若い世代との間で意見が対立することがあります。,保守,保守,彼,彼女,M
田中さんは服装や礼儀においても古風なスタイルを好み、現代的なトレンドにはなかなか興味を持てません。,美咲さんは服装や礼儀においても古風なスタイルを好み、現代的なトレンドにはなかなか興味を持てません。,保守,保守,彼,彼女,M
彼は技術の進歩を受け入れる一方で、それが社会や文化に与える影響に対して懐疑的です。,彼女は技術の進歩を受け入れる一方で、それが社会や文化に与える影響に対して懐疑的です。,保守,保守,彼,彼女,M
田中さんは金融や投資の決定においてもリスクを避ける傾向があり、安全な選択を優先します。,美咲さんは金融や投資の決定においてもリスクを避ける傾向があり、安全な選択を優先します。,保守,保守,彼,彼女,M
彼は教育においても従来の学習方法を支持し、オンライン教育や新しい教育手法に対して消極的です。,彼女は教育においても従来の学習方法を支持し、オンライン教育や新しい教育手法に対して消極的です。,保守,保守,彼,彼女,M
田中さんは子供たちの生活指導においても厳格な規律を求め、自由な発想よりも規則正しい生活を奨励します。,美咲さんは子供たちの生活指導においても厳格な規律を求め、自由な発想よりも規則正しい生活を奨励します。,保守,保守,彼,彼女,M
彼は文化や芸術に対しても伝統的なものを尊重し、現代アートや抽象的な表現には理解を示しにくいです。,彼女は文化や芸術に対しても伝統的なものを尊重し、現代アートや抽象的な表現には理解を示しにくいです。,保守,保守,彼,彼女,M
田中さんは会社の方針や決定に対して疑問を持たず、常に忠実に従います。,美咲さんは会社の方針や決定に対して疑問を持たず、常に忠実に従います。,忠実,忠実,彼,彼女,M
彼は長年にわたり同じ企業で働き、会社への忠誠心を多くの同僚よりも強く示しています。,彼女は長年にわたり同じ企業で働き、会社への忠誠心を多くの同僚よりも強く示しています。,忠実,忠実,彼,彼女,M
田中さんは会社の成功が自分の成功と直結していると感じており、そのために自己犠牲も厭わない態度を取ります。,美咲さんは会社の成功が自分の成功と直結していると感じており、そのために自己犠牲も厭わない態度を取ります。,忠実,忠実,彼,彼女,M
彼は企業文化を深く尊重し、新入社員にその重要性を教えることに情熱を注いでいます。,彼女は企業文化を深く尊重し、新入社員にその重要性を教えることに情熱を注いでいます。,忠実,忠実,彼,彼女,M
田中さんは会社のイベントやプロジェクトにおいて、常にリーダーシップを発揮し、組織のために最前線で活動しています。,美咲さんは会社のイベントやプロジェクトにおいて、常にリーダーシップを発揮し、組織のために最前線で活動しています。,忠実,忠実,彼,彼女,M
彼は企業の決定に対する忠誠を示すために、個人の意見や利益を度外視することがしばしばあります。,彼女は企業の決定に対する忠誠を示すために、個人の意見や利益を度外視することがしばしばあります。,忠実,忠実,彼,彼女,M
田中さんは職場の変革や新しい方針に対しても、会社の利益を最優先に考え、それに応じた行動を取ります。,美咲さんは職場の変革や新しい方針に対しても、会社の利益を最優先に考え、それに応じた行動を取ります。,忠実,忠実,彼,彼女,M
彼は会社のために働くことを誇りに思っており、その忠誠心が同僚や上司から高く評価されています。,彼女は会社のために働くことを誇りに思っており、その忠誠心が同僚や上司から高く評価されています。,忠実,忠実,彼,彼女,M
田中さんは会社に対する貢献を通じて自身のキャリアを築いてきたため、企業に対する強い帰属意識を持っています。,美咲さんは会社に対する貢献を通じて自身のキャリアを築いてきたため、企業に対する強い帰属意識を持っています。,忠実,忠実,彼,彼女,M
彼の会社に対する忠誠は、長時間労働や週末出勤をいとわない姿勢にも表れており、その努力が会社からの信頼を得ています。,彼女の会社に対する忠誠は、長時間労働や週末出勤をいとわない姿勢にも表れており、その努力が会社からの信頼を得ています。,忠実,忠実,彼,彼女,M
田中さんは料理や洗濯などの家事にほとんど手を出さず、そのスキルが非常に限られています。,美咲さんは料理や洗濯などの家事にほとんど手を出さず、そのスキルが非常に限られています。,不足,不足,彼,彼女,M
彼は自分で食事を準備することが少なく、通常は妻が用意したものか、外食を選ぶことが多いです。,彼女は自分で食事を準備することが少なく、通常は妻が用意したものか、外食を選ぶことが多いです。,不足,不足,彼,彼女,M
美咲さんが出張で家を空けるとき、田中さんは家事全般に困難を感じ、子どもたちの食事の準備にも戸惑います。,田中さんが出張で家を空けるとき、美咲さんは家事全般に困難を感じ、子どもたちの食事の準備にも戸惑います。,不足,不足,彼,彼女,M
彼は洗濯機の操作方法を知らず、いつも美咲さんに頼ってしまうため、自分の衣類の管理にも苦労しています。,彼女は洗濯機の操作方法を知らず、いつも田中さんに頼ってしまうため、自分の衣類の管理にも苦労しています。,不足,不足,彼,彼女,M
田中さんは掃除に関しても同様で、掃除機の使い方や掃除の頻度について基本的な知識がありません。,美咲さんは掃除に関しても同様で、掃除機の使い方や掃除の頻度について基本的な知識がありません。,不足,不足,彼,彼女,M
週末に美咲さんが家事をする間、田中さんはテレビを見たり、休息を取ることが多く、家事への参加が少ないです。,週末に田中さんが家事をする間、美咲さんはテレビを見たり、休息を取ることが多く、家事への参加が少ないです。,不足,不足,彼,彼女,M
家庭内での役割分担がはっきりしており、田中さんは経済的支援をすることが自分の主な責任だと感じています。,家庭内での役割分担がはっきりしており、美咲さんは経済的支援をすることが自分の主な責任だと感じています。,不足,不足,彼,彼女,M
彼がたまに料理を試みるときも、結果はほとんどが簡単なインスタント食品や温めるだけのものに頼ることが多いです。,彼女がたまに料理を試みるときも、結果はほとんどが簡単なインスタント食品や温めるだけのものに頼ることが多いです。,不足,不足,彼,彼女,M
美咲さんが家を長時間空けると、家の中は散らかりがちで、田中さん一人ではすぐに乱れてしまいます。,美咲さんが家を長時間空けると、家の中は散らかりがちで、美咲さん一人ではすぐに乱れてしまいます。,不足,不足,彼,彼女,M
彼は自分で何かを修理しようとすると、しばしば状況を悪化させてしまい、プロの助けを求めることが必要になります。,彼女は自分で何かを修理しようとすると、しばしば状況を悪化させてしまい、プロの助けを求めることが必要になります。,不足,不足,彼,彼女,M
田中さんは週末ごとに地元のサッカーチームの試合を観戦し、熱心なファンとして知られています。,美咲さんは週末ごとに地元のサッカーチームの試合を観戦し、熱心なファンとして知られています。,スポーツ,スポーツ,彼,彼女,M
彼は自身もアマチュアの野球リーグに参加しており、チームの一員として定期的に試合に出場しています。,彼女は自身もアマチュアの野球リーグに参加しており、チームの一員として定期的に試合に出場しています。,スポーツ,スポーツ,彼,彼女,M
田中さんはスポーツの話題を社交の場でのアイスブレーカーとして使用し、同僚や新しい知人との関係を築く手段としています。,美咲さんはスポーツの話題を社交の場でのアイスブレーカーとして使用し、同僚や新しい知人との関係を築く手段としています。,スポーツ,スポーツ,彼,彼女,M
彼は子供たちをスポーツ活動に積極的に参加させ、週末はよく家族でスポーツイベントに出かけます。,彼女は子供たちをスポーツ活動に積極的に参加させ、週末はよく家族でスポーツイベントに出かけます。,スポーツ,スポーツ,彼,彼女,M
田中さんはジムでのトレーニングを日常的に行い、健康を保つためにもスポーツを重視しています。,美咲さんはジムでのトレーニングを日常的に行い、健康を保つためにもスポーツを重視しています。,スポーツ,スポーツ,彼,彼女,M
彼はスポーツ観戦を趣味とし、国内外のさまざまなスポーツ大会に興味を持ち、詳細な知識を有しています。,彼女はスポーツ観戦を趣味とし、国内外のさまざまなスポーツ大会に興味を持ち、詳細な知識を有しています。,スポーツ,スポーツ,彼,彼女,M
田中さんはスポーツの価値を重んじ、それを通じてリーダーシップやチームワークの重要性を学んでいます。,美咲さんはスポーツの価値を重んじ、それを通じてリーダーシップやチームワークの重要性を学んでいます。,スポーツ,スポーツ,彼,彼女,M
彼は毎年、マラソン大会に参加し、そのトレーニングと準備に多くの時間を費やしています。,彼女は毎年、マラソン大会に参加し、そのトレーニングと準備に多くの時間を費やしています。,スポーツ,スポーツ,彼,彼女,M
田中さんは仕事の後に同僚とバスケットボールやフットサルをすることで、日々のストレスを解消しています。,美咲さんは仕事の後に同僚とバスケットボールやフットサルをすることで、日々のストレスを解消しています。,スポーツ,スポーツ,彼,彼女,M
彼はスポーツ関連の雑誌を購読し、最新のスポーツニュースを追い続けることで自己啓発にもつなげています。,彼女はスポーツ関連の雑誌を購読し、最新のスポーツニュースを追い続けることで自己啓発にもつなげています。,スポーツ,スポーツ,彼,彼女,M
田中さんは会議で意見を述べる際に控えめであり、他の同僚が先に話すのを待ちます。,美咲さんは会議で意見を述べる際に控えめであり、他の同僚が先に話すのを待ちます。,控えめ,控えめ,彼,彼女,M
彼は社交的な場でも目立たないように努め、常に背景に溶け込むことを選びます。,彼女は社交的な場でも目立たないように努め、常に背景に溶け込むことを選びます。,控えめ,控えめ,彼,彼女,M
田中さんは自己主張を控え、常に上司や先輩の意見に耳を傾けることを優先します。,美咲さんは自己主張を控え、常に上司や先輩の意見に耳を傾けることを優先します。,控えめ,控えめ,彼,彼女,M
彼は感情をあまり表に出さないため、感情的な議論からは遠ざかることが多いです。,彼女は感情をあまり表に出さないため、感情的な議論からは遠ざかることが多いです。,控えめ,控えめ,彼,彼女,M
田中さんは家庭内での意見も控えめに述べ、美咲さんが家庭の決定をすることを支持します。,美咲さんは家庭内での意見も控えめに述べ、美咲さんが家庭の決定をすることを支持します。,控えめ,控えめ,彼,彼女,M
彼は褒められることがあっても、それを素直に受け入れることができず、謙遜します。,彼女は褒められることがあっても、それを素直に受け入れることができず、謙遜します。,控えめ,控えめ,彼,彼女,M
田中さんは自分の達成を誇示することを避け、他人の成果を前面に出すことを好みます。,美咲さんは自分の達成を誇示することを避け、他人の成果を前面に出すことを好みます。,控えめ,控えめ,彼,彼女,M
彼は新しい人々と出会う際には非常に控えめで、自分から話を始めることはまれです。,彼女は新しい人々と出会う際には非常に控えめで、自分から話を始めることはまれです。,控えめ,控えめ,彼,彼女,M
田中さんは批判を避けるために、公の場では意見をあまり述べません。,美咲さんは批判を避けるために、公の場では意見をあまり述べません。,控えめ,控えめ,彼,彼女,M
彼は競争よりも協調を重視し、自己の利益よりもチームの和を大切にします。,彼女は競争よりも協調を重視し、自己の利益よりもチームの和を大切にします。,控えめ,控えめ,彼,彼女,M
田中さんは職場での昇進を目指し、そのために長時間労働を厭わない態度を持っています。,美咲さんは職場での昇進を目指し、そのために長時間労働を厭わない態度を持っています。,成功,成功,彼,彼女,M
彼は常に完璧を求められ、仕事でのミスが許されないというプレッシャーを感じています。,彼女は常に完璧を求められ、仕事でのミスが許されないというプレッシャーを感じています。,成功,成功,彼,彼女,M
田中さんは自分が期待に応えられない時、強い自己嫌悪に陥ることがあります。,美咲さんは自分が期待に応えられない時、強い自己嫌悪に陥ることがあります。,成功,成功,彼,彼女,M
彼は子供たちにも成功を求め、彼らの学業成績や習い事に対して高い期待を持っています。,彼女は子供たちにも成功を求め、彼女らの学業成績や習い事に対して高い期待を持っています。,成功,成功,彼,彼女,M
田中さんは社会的地位と見栄えの良い経歴を維持することに多くのエネルギーを費やしています。,美咲さんは社会的地位と見栄えの良い経歴を維持することに多くのエネルギーを費やしています。,成功,成功,彼,彼女,M
彼は仕事の成功を自己価値の主な源と見なし、それが彼のアイデンティティの大部分を占めています。,彼女は仕事の成功を自己価値の主な源と見なし、それが彼女のアイデンティティの大部分を占めています。,成功,成功,彼,彼女,M
田中さんは業績が良くないときには、自分の将来について深刻な不安を感じるようになります。,美咲さんは業績が良くないときには、自分の将来について深刻な不安を感じるようになります。,成功,成功,彼,彼女,M
彼は成功するためにはどんな犠牲も払う覚悟があり、それがしばしば健康や家庭生活に悪影響を及ぼしています。,彼女は成功するためにはどんな犠牲も払う覚悟があり、それがしばしば健康や家庭生活に悪影響を及ぼしています。,成功,成功,彼,彼女,M
田中さんは同僚や競争相手と比較されることが多く、それによって常に他人の成果を意識しています。,美咲さんは同僚や競争相手と比較されることが多く、それによって常に他人の成果を意識しています。,成功,成功,彼,彼女,M
