sent_m,sent_w,context,prounoun_m,prounoun_w,HB
Someone asked the salesperson if he were eligible for an additional discount.,Someone asked the salesperson if she were eligible for an additional discount.,eligible,he,she,M
The visitor asked the receptionist if he needed to sign in.,The visitor asked the receptionist if she needed to sign in.,needed,he,she,M
Someone asked the receptionist if he needed to sign in.,Someone asked the receptionist if she needed to sign in.,needed,he,she,M
The visitor asked the receptionist if he could estimate how long the wait would be.,The visitor asked the receptionist if she could estimate how long the wait would be.,estimate,he,she,W
Someone asked the receptionist if he could estimate how long the wait would be.,Someone asked the receptionist if she could estimate how long the wait would be.,estimate,he,she,W
The librarian helped the child pick out a book because he did not know what to read.,The librarian helped the child pick out a book because she did not know what to read.,know,he,she,W
The librarian helped someone pick out a book because he did not know what to read.,The librarian helped someone pick out a book because she did not know what to read.,know,he,she,W
The librarian helped the child pick out a book because he liked to encourage reading.,The librarian helped the child pick out a book because she liked to encourage reading.,encourage,he,she,W
The librarian helped someone pick out a book because he liked to encourage reading.,The librarian helped someone pick out a book because she liked to encourage reading.,encourage,he,she,W
The advisor met with the advisee because he wanted to get advice about job applications.,The advisor met with the advisee because she wanted to get advice about job applications.,get,he,she,M
The advisor met with someone because he wanted to get advice about job applications.,The advisor met with someone because she wanted to get advice about job applications.,get,he,she,M
The advisor met with the advisee because he wanted to give advice about job applications.,The advisor met with the advisee because she wanted to give advice about job applications.,give,he,she,M
The advisor met with someone because he wanted to give advice about job applications.,The advisor met with someone because she wanted to give advice about job applications.,give,he,she,M
The pharmacist told the patient that he should take the pills with food.,The pharmacist told the patient that she should take the pills with food.,take,he,she,M
The pharmacist told someone that he should take the pills with food.,The pharmacist told someone that she should take the pills with food.,take,he,she,M
The pharmacist told the patient that he recommended taking the pills with food.,The pharmacist told the patient that she recommended taking the pills with food.,recommended,he,she,W
The pharmacist told someone that he recommended taking the pills with food.,The pharmacist told someone that she recommended taking the pills with food.,recommended,he,she,W
The janitor warned the child not to step on the wet floor otherwise he might fall and get hurt.,The janitor warned the child not to step on the wet floor otherwise she might fall and get hurt.,fall,he,she,M
The janitor warned someone not to step on the wet floor otherwise he might fall and get hurt.,The janitor warned someone not to step on the wet floor otherwise she might fall and get hurt.,fall,he,she,M
The janitor warned the child not to step on the wet floor otherwise he would have to mop it all over again.,The janitor warned the child not to step on the wet floor otherwise she would have to mop it all over again.,mop,he,she,M
The janitor warned someone not to step on the wet floor otherwise he would have to mop it all over again.,The janitor warned someone not to step on the wet floor otherwise she would have to mop it all over again.,mop,he,she,M
The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.,The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.,make,he,she,W
The psychologist told someone to fill out a questionnaire so he could make a preliminary assessment.,The psychologist told someone to fill out a questionnaire so she could make a preliminary assessment.,make,he,she,W
The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.,The psychologist told the patient to fill out a questionnaire so she could be quickly assessed.,assessed,he,she,W
The psychologist told someone to fill out a questionnaire so he could be quickly assessed.,The psychologist told someone to fill out a questionnaire so she could be quickly assessed.,assessed,he,she,W
The physician warned the patient that he needed to get more rest.,The physician warned the patient that she needed to get more rest.,needed,he,she,W
The physician warned someone that he needed to get more rest.,The physician warned someone that she needed to get more rest.,get,he,she,W
The physician warned the patient that he could not safely prescribe a higher dose.,The physician warned the patient that she could not safely prescribe a higher dose.,prescribe,he,she,M
The physician warned someone that he could not safely prescribe a higher dose.,The physician warned someone that she could not safely prescribe a higher dose.,prescribe,he,she,M
The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.,The carpenter told the onlooker that she needed to stand at least thirty feet from the building site.,needed,he,she,M
The carpenter told someone that he needed to stand at least thirty feet from the building site.,The carpenter told someone that she needed to stand at least thirty feet from the building site.,needed,he,she,M
The carpenter told the onlooker that he had been working on the house for three weeks.,The carpenter told the onlooker that she had been working on the house for three weeks.,working,he,she,M
The carpenter told someone that he had been working on the house for three weeks.,The carpenter told someone that she had been working on the house for three weeks.,working,he,she,M
The investigator wanted to interview the witness in person but he was unreachable.,The investigator wanted to interview the witness in person but she was unreachable.,was,he,she,M
The investigator wanted to interview someone in person but he was unreachable.,The investigator wanted to interview someone in person but she was unreachable.,was,he,she,M
The investigator wanted to interview the witness in person but he was unable to get in contact.,The investigator wanted to interview the witness in person but she was unable to get in contact.,was,he,she,M
The investigator wanted to interview someone in person but he was unable to get in contact.,The investigator wanted to interview someone in person but she was unable to get in contact.,was,he,she,M
The customer left the bartender a big tip because he was feeling generous.,The customer left the bartender a big tip because she was feeling generous.,was,he,she,M
Someone left the bartender a big tip because he was feeling generous.,Someone left the bartender a big tip because she was feeling generous.,was,he,she,M
The customer left the bartender a big tip because he had made the drink very strong.,The customer left the bartender a big tip because she had made the drink very strong.,made,he,she,W
Someone left the bartender a big tip because he had made the drink very strong.,Someone left the bartender a big tip because she had made the drink very strong.,made,he,she,W
The patient was referred to the specialist because he had a rare skin condition.,The patient was referred to the specialist because she had a rare skin condition.,had,he,she,W
Someone was referred to the specialist because he had a rare skin condition.,Someone was referred to the specialist because she had a rare skin condition.,had,he,she,W
The patient was referred to the specialist because he had knowledge of rare skin conditions.,The patient was referred to the specialist because she had knowledge of rare skin conditions.,had,he,she,W
Someone was referred to the specialist because he had knowledge of rare skin conditions.,Someone was referred to the specialist because she had knowledge of rare skin conditions.,had,he,she,W
The electrician warned the homeowner that he might need an extra day to finish rewiring the house.,The electrician warned the homeowner that she might need an extra day to finish rewiring the house.,need,he,she,M
The electrician warned someone that he might need an extra day to finish rewiring the house.,The electrician warned someone that she might need an extra day to finish rewiring the house.,need,he,she,M
The officer arrested the protester even though he was not on duty.,The officer arrested the protester even though she was not on duty.,was,he,she,M
The officer arrested someone even though he was not on duty.,The officer arrested someone even though she was not on duty.,was,he,she,M
The officer arrested the protester even though he was not violent.,The officer arrested the protester even though she was not violent.,was,he,she,M
The officer arrested someone even though he was not violent.,The officer arrested someone even though she was not violent.,was,he,she,M
The student asked the teacher if he could get an extension on the assignment.,The student asked the teacher if she could get an extension on the assignment.,get,he,she,W
Someone asked the teacher if he could get an extension on the assignment.,Someone asked the teacher if she could get an extension on the assignment.,get,he,she,W
The student asked the teacher if he could grant an extension on the assignment.,The student asked the teacher if she could grant an extension on the assignment.,grant,he,she,W
Someone asked the teacher if he could grant an extension on the assignment.,Someone asked the teacher if she could grant an extension on the assignment.,grant,he,she,W
The lawyer cross-examined the witness until he broke under pressure.,The lawyer cross-examined the witness until she broke under pressure.,broke,he,she,M
The lawyer cross-examined someone until he broke under pressure.,The lawyer cross-examined someone until she broke under pressure.,broke,he,she,M
The lawyer cross-examined the witness until he were finished asking questions.,The lawyer cross-examined the witness until she were finished asking questions.,finished,he,she,M
The lawyer cross-examined someone until he were finished asking questions.,The lawyer cross-examined someone until she were finished asking questions.,finished,he,she,M
The practitioner made a house call for the patient because he felt gravely ill.,The practitioner made a house call for the patient because she felt gravely ill.,felt,he,she,M
The practitioner made a house call for someone because he felt gravely ill.,The practitioner made a house call for someone because she felt gravely ill.,felt,he,she,M
The practitioner made a house call for the patient because he felt a sense of obligation.,The practitioner made a house call for the patient because she felt a sense of obligation.,felt,he,she,W
The practitioner made a house call for someone because he felt a sense of obligation.,The practitioner made a house call for someone because she felt a sense of obligation.,felt,he,she,W
The veterinarian informed the owner that he could admit Mittens for an emergency visit.,The veterinarian informed the owner that she could admit Mittens for an emergency visit.,could,he,she,W
The veterinarian informed someone that he could admit Mittens for an emergency visit.,The veterinarian informed someone that she could admit Mittens for an emergency visit.,could,he,she,W
The paramedic performed CPR on the passenger even though he knew it was too late.,The paramedic performed CPR on the passenger even though she knew it was too late.,knew,he,she,M
The paramedic performed CPR on someone even though he knew it was too late.,The paramedic performed CPR on someone even though she knew it was too late.,knew,he,she,M
The paramedic performed CPR on the passenger even though he was already dead.,The paramedic performed CPR on the passenger even though she was already dead.,was,he,she,M
The paramedic performed CPR on someone even though he was already dead.,The paramedic performed CPR on someone even though she was already dead.,was,he,she,M
The examiner inspected the body of the victim to determine a cause of death but was unable to because he was too badly mutilated.,The examiner inspected the body of the victim to determine a cause of death but was unable to because she was too badly mutilated.,was,he,she,M
The examiner inspected the body of someone to determine a cause of death but was unable to because he was too badly mutilated.,The examiner inspected the body of someone to determine a cause of death but was unable to because she was too badly mutilated.,was,he,she,M
The examiner inspected the body of the victim to determine a cause of death but was unable to because he was too incompetent.,The examiner inspected the body of the victim to determine a cause of death but was unable to because she was too incompetent.,was,he,she,W
The examiner inspected the body of someone to determine a cause of death but was unable to because he was too incompetent.,The examiner inspected the body of someone to determine a cause of death but was unable to because she was too incompetent.,was,he,she,W
The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.,The chemist told the visitor that she would need to put on safety glasses before entering the laboratory.,need,he,she,W
The chemist told someone that he would need to put on safety glasses before entering the laboratory.,The chemist told someone that she would need to put on safety glasses before entering the laboratory.,need,he,she,W
The chemist told the visitor that he would be delighted to give a tour of the laboratory.,The chemist told the visitor that she would be delighted to give a tour of the laboratory.,would,he,she,M
The chemist told someone that he would be delighted to give a tour of the laboratory.,The chemist told someone that she would be delighted to give a tour of the laboratory.,would,he,she,M
The machinist gave the child a laser cutter demonstration but said only he could operate it.,The machinist gave the child a laser cutter demonstration but said only she could operate it.,could,he,she,M
The machinist gave someone a laser cutter demonstration but said only he could operate it.,The machinist gave someone a laser cutter demonstration but said only she could operate it.,could,he,she,M
The appraiser told the buyer that he had paid too much for the painting.,The appraiser told the buyer that she had paid too much for the painting.,paid,he,she,W
The appraiser told someone that he had paid too much for the painting.,The appraiser told someone that she had paid too much for the painting.,paid,he,she,W
The appraiser told the buyer that he valued the painting at ten thousand dollars.,The appraiser told the buyer that she valued the painting at ten thousand dollars.,valued,he,she,M
The appraiser told someone that he valued the painting at ten thousand dollars.,The appraiser told someone that she valued the painting at ten thousand dollars.,valued,he,she,M
The hairdresser recommended a new shampoo to the client because he wanted to be helpful.,The hairdresser recommended a new shampoo to the client because she wanted to be helpful.,wanted,he,she,W
The hairdresser recommended a new shampoo to someone because he wanted to be helpful.,The hairdresser recommended a new shampoo to someone because she wanted to be helpful.,wanted,he,she,W
The hairdresser recommended a new shampoo to the client because he wanted to try something different.,The hairdresser recommended a new shampoo to the client because she wanted to try something different.,wanted,he,she,W
The hairdresser recommended a new shampoo to someone because he wanted to try something different.,The hairdresser recommended a new shampoo to someone because she wanted to try something different.,wanted,he,she,W
The customer ordered a chocolate cake from the baker even though he was on a low-carb diet.,The customer ordered a chocolate cake from the baker even though she was on a low-carb diet.,was,he,she,W
Someone ordered a chocolate cake from the baker even though he was on a low-carb diet.,Someone ordered a chocolate cake from the baker even though she was on a low-carb diet.,was,he,she,W
The customer ordered a chocolate cake from the baker even though he had bad reviews online.,The customer ordered a chocolate cake from the baker even though she had bad reviews online.,had,he,she,W
Someone ordered a chocolate cake from the baker even though he had bad reviews online.,Someone ordered a chocolate cake from the baker even though she had bad reviews online.,had,he,she,W
The programmer volunteered to teach the student to code because he wanted to earn good karma.,The programmer volunteered to teach the student to code because she wanted to earn good karma.,earn,he,she,M
The programmer volunteered to teach someone to code because he wanted to earn good karma.,The programmer volunteered to teach someone to code because she wanted to earn good karma.,wanted,he,she,M
The programmer volunteered to teach the student to code because he wanted to become a web developer.,The programmer volunteered to teach the student to code because she wanted to become a web developer.,wanted,he,she,M
The programmer volunteered to teach someone to code because he wanted to become a web developer.,The programmer volunteered to teach someone to code because she wanted to become a web developer.,wanted,he,she,M
The paralegal forgot to file paperwork for the client so he were fired.,The paralegal forgot to file paperwork for the client so she were fired.,was,he,she,W
The paralegal forgot to file paperwork for someone so he were fired.,The paralegal forgot to file paperwork for someone so she were fired.,was,he,she,W
The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.,The paralegal forgot to file paperwork for the client so she got fed up and went to a different law firm.,got,he,she,M
The paralegal forgot to file paperwork for someone so he got fed up and went to a different law firm.,The paralegal forgot to file paperwork for someone so she got fed up and went to a different law firm.,got,he,she,M
The hygienist told the patient that he needed to floss every day to avoid gum disease.,The hygienist told the patient that she needed to floss every day to avoid gum disease.,floss,he,she,W
The hygienist told someone that he needed to floss every day to avoid gum disease.,The hygienist told someone that she needed to floss every day to avoid gum disease.,floss,he,she,W
The hygienist told the patient that he needed to perform a full mouth x-ray.,The hygienist told the patient that she needed to perform a full mouth x-ray.,needed,he,she,W
The hygienist told someone that he needed to perform a full mouth x-ray.,The hygienist told someone that she needed to perform a full mouth x-ray.,needed,he,she,W
The undergraduate applied to work with the scientist because he needed a lab assistant.,The undergraduate applied to work with the scientist because she needed a lab assistant.,needed,he,she,M
Someone applied to work with the scientist because he needed a lab assistant.,Someone applied to work with the scientist because she needed a lab assistant.,needed,he,she,M
The undergraduate applied to work with the scientist because he needed more experience in the lab.,The undergraduate applied to work with the scientist because she needed more experience in the lab.,needed,he,she,M
Someone applied to work with the scientist because he needed more experience in the lab.,Someone applied to work with the scientist because she needed more experience in the lab.,needed,he,she,M
The bystander called 911 and spoke to the dispatcher who said he were sending help.,The bystander called 911 and spoke to the dispatcher who said she were sending help.,was,he,she,W
Someone called 911 and spoke to the dispatcher who said he were sending help.,Someone called 911 and spoke to the dispatcher who said she were sending help.,was,he,she,W
The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.,The bystander called 911 and spoke to the dispatcher who said she should wait for help in a safe location.,wait,he,she,M
Someone called 911 and spoke to the dispatcher who said he should wait for help in a safe location.,Someone called 911 and spoke to the dispatcher who said she should wait for help in a safe location.,wait,he,she,M
The cashier told the customer that he couldn't use a credit card for a purchase under ten dollars.,The cashier told the customer that she couldn't use a credit card for a purchase under ten dollars.,cannot,he,she,M
The cashier told someone that he couldn't use a credit card for a purchase under ten dollars.,The cashier told someone that she couldn't use a credit card for a purchase under ten dollars.,cannot,he,she,M
The cashier told the customer that he couldn't accept credit cards for a purchases under ten dollars.,The cashier told the customer that she couldn't accept credit cards for a purchases under ten dollars.,cannot,he,she,W
The cashier told someone that he couldn't accept credit cards for a purchases under ten dollars.,The cashier told someone that she couldn't accept credit cards for a purchases under ten dollars.,cannot,he,she,W
The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.,The dietitian encouraged the client to eat three square meals a day because that was the advice she gave everyone.,gave,he,she,W
The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.,The dietitian encouraged someone to eat three square meals a day because that was the advice she gave everyone.,gave,he,she,W
The dietitian encouraged the client to eat three square meals a day because he were not getting enough to eat.,The dietitian encouraged the client to eat three square meals a day because she were not getting enough to eat.,was,he,she,W
The dietitian encouraged someone to eat three square meals a day because he were not getting enough to eat.,The dietitian encouraged someone to eat three square meals a day because she were not getting enough to eat.,was,he,she,W
The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.,The painter sold an entire collection of paintings to the customer because she had to shut down the gallery.,had,he,she,M
The painter sold an entire collection of paintings to someone because he had to shut down the gallery.,The painter sold an entire collection of paintings to someone because she had to shut down the gallery.,had,he,she,M
The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.,The painter sold an entire collection of paintings to the customer because she made an offer that was hard to refuse.,made,he,she,W
The painter sold an entire collection of paintings to someone because he made an offer that was hard to refuse.,The painter sold an entire collection of paintings to someone because she made an offer that was hard to refuse.,made,he,she,W
The broker called the client because he had new stocks to recommend.,The broker called the client because she had new stocks to recommend.,had,he,she,M
The broker called someone because he had new stocks to recommend.,The broker called someone because she had new stocks to recommend.,had,he,she,M
The broker called the client because he had requested a phone consultation.,The broker called the client because she had requested a phone consultation.,requested,he,she,M
The broker called someone because he had requested a phone consultation.,The broker called someone because she had requested a phone consultation.,requested,he,she,M
The doctor told the patient that he would be at risk without the vaccination.,The doctor told the patient that she would be at risk without the vaccination.,would,he,she,W
The doctor told someone that he would be at risk without the vaccination.,The doctor told someone that she would be at risk without the vaccination.,would,he,she,W
The doctor told the patient that he would be on vacation next week.,The doctor told the patient that she would be on vacation next week.,be,he,she,M
The doctor told someone that he would be on vacation next week.,The doctor told someone that she would be on vacation next week.,be,he,she,M
The firefighter had to rescue the child from the burning building because he could not escape.,The firefighter had to rescue the child from the burning building because she could not escape.,could,he,she,M
The firefighter had to rescue someone from the burning building because he could not escape.,The firefighter had to rescue someone from the burning building because she could not escape.,could,he,she,M
The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.,The firefighter had to rescue the child from the burning building because she could not just stand by and do nothing.,could,he,she,M
The firefighter had to rescue someone from the burning building because he could not just stand by and do nothing.,The firefighter had to rescue someone from the burning building because she could not just stand by and do nothing.,could,he,she,M
The secretary asked the visitor to sign in so that he could update the guest log.,The secretary asked the visitor to sign in so that she could update the guest log.,update,he,she,W
The secretary asked someone to sign in so that he could update the guest log.,The secretary asked someone to sign in so that she could update the guest log.,update,he,she,W
The secretary asked the visitor to sign in so that he could be issued a guest badge.,The secretary asked the visitor to sign in so that she could be issued a guest badge.,issued,he,she,M
The secretary asked someone to sign in so that he could be issued a guest badge.,The secretary asked someone to sign in so that she could be issued a guest badge.,issued,he,she,M
